Dispatch_ID,Dispatch_Date,Expected_Delivery_Date,Actual_Delivery_Date,Yarn_Type,Denier,Packaging,Quantity,Spools_per_Unit,Spool_Weight_kg,Total_Weight_kg,Vendor_Name,Customer_Name,Destination_City,Vehicle_Number,Delivery_status,Delay_Reason,Cost_INR
D00001,14-08-2022,18-08-2022,18-08-2022,POY,400/144,Pallet,15,42,15,9450,Laxmi Fibre Industries,Arvind Mills,Surat,GJ-21-X-7912,On Time,,13452.29
D00002,10-04-2022,13-04-2022,18-04-2022,POY,250/48,Pallet,15,42,15,9450,Laxmi Fibre Industries,Welspun Textiles,Vapi,GJ-96-X-9935,Delayed,Route Issue,24462.32
D00003,23-12-2023,24-12-2023,24-12-2023,FDY,600/288,Box,11,2,8,176,Modi Spinning Mills,Sutlej Textiles,Pune,GJ-21-X-7912,On Time,,22329.67
D00004,03-08-2022,06-08-2022,12-08-2022,POY,500/288,Pallet,14,42,15,8820,Navsari Thread Co,Garden Silk Mills,Navsari,GJ-39-X-9279,Delayed,Vehicle Breakdown,14245.2
D00005,23-08-2022,24-08-2022,28-08-2022,POY,500/288,Pallet,12,42,15,7560,Gujarat Yarn Traders,Pasupati Fabrics,Pune,GJ-14-X-1488,Delayed,Route Issue,19358.29
D00006,23-05-2022,25-05-2022,30-05-2022,FDY,250/48,Box,13,2,8,208,Om Sai Yarn Traders,Reliance Industries,Surat,GJ-39-X-9279,Delayed,Route Issue,12239.93
D00007,18-02-2022,19-02-2022,19-02-2022,FDY,250/48,Box,29,2,8,464,Silvassa Fibre Co,Century Textiles,Ahmedabad,GJ-39-X-9279,On Time,,16917.77
D00008,08-02-2024,11-02-2024,14-02-2024,POY,250/48,Pallet,16,42,15,10080,Patel Yarn Agency,Unknown,Vapi,GJ-41-X-4657,Delayed,Vehicle Breakdown,19441.84
D00009,16-09-2023,18-09-2023,18-09-2023,POY,500/288,Pallet,16,42,15,10080,Laxmi Fibre Industries,Garden Silk Mills,Ahmedabad,GJ-21-X-4582,On Time,,
D00010,18-06-2024,21-06-2024,21-06-2024,POY,250/48,Pallet,14,42,15,8820,Modi Spinning Mills,Reliance Industries,Vapi,GJ-41-X-4657,On Time,,14719.81
